Disease,ICD10code,ICD10codeDescr,Provenance,Exclude
Immunodeficiencies,D80.4,Selective deficiency of immunoglobulin M [IgM],Cross-mapped,NA
Immunodeficiencies,D80.5,Immunodeficiency with increased immunoglobulin M [IgM],Cross-mapped,NA
Immunodeficiencies,D80.7,Transient hypogammaglobulinaemia of infancy,Cross-mapped,NA
Immunodeficiencies,D80.8,Other immunodeficiencies with predominantly antibody defects,Cross-mapped,NA
Immunodeficiencies,D80.9,"Immunodeficiency with predominantly antibody defects, unspecified",Cross-mapped,NA
Immunodeficiencies,D81,Combined immunodeficiencies,Kuan,NA
Immunodeficiencies,D81.0,Severe combined immunodeficiency [SCID] with reticular dysgenesis,Cross-mapped,NA
Immunodeficiencies,D81.3,Adenosine deaminase [ADA] deficiency,Cross-mapped,NA
Immunodeficiencies,D81.5,Purine nucleoside phosphorylase [PNP] deficiency,Cross-mapped,NA
Immunodeficiencies,D81.6,Major histocompatibility complex class I deficiency,Cross-mapped,NA
Immunodeficiencies,D81.7,Major histocompatibility complex class II deficiency,Cross-mapped,NA
Immunodeficiencies,D81.8,Other combined immunodeficiencies,Cross-mapped,NA
Immunodeficiencies,D81.9,"Combined immunodeficiency, unspecified",Cross-mapped,NA
Immunodeficiencies,D82,Immunodeficiency associated with other major defects,Kuan,NA
Immunodeficiencies,D82.0,Wiskott-Aldrich syndrome,Cross-mapped,NA
Immunodeficiencies,D82.1,Di George syndrome,Cross-mapped,NA
Immunodeficiencies,D82.2,Immunodeficiency with short-limbed stature,Cross-mapped,NA
Immunodeficiencies,D82.4,Hyperimmunoglobulin E [IgE] syndrome,Cross-mapped,NA
Immunodeficiencies,D83,Common variable immunodeficiency,Overlap,NA
Immunodeficiencies,D83.8,Other common variable immunodeficiencies,Cross-mapped,NA
Immunodeficiencies,D83.9,"Common variable immunodeficiency, unspecified",Cross-mapped,NA
Immunodeficiencies,D84.0,Lymphocyte function antigen-1 [LFA-1] defect,Overlap,NA
Immunodeficiencies,D84.8,Other specified immunodeficiencies,Overlap,NA
Immunodeficiencies,D84.9,Immunodeficiency,Overlap,NA
Infection of bones and joints,A18.0,Tuberculosis of bones and joints,New code list,NA
Infection of bones and joints,A54.4,Gonococcal infection of musculoskeletal system,New code list,NA
Infection of bones and joints,B45.3,Osseous cryptococcosis,New code list,NA
Infection of bones and joints,B67.2,Echinococcus granulosus infection of bone,New code list,NA
Infection of bones and joints,B90.2,Sequelae of tuberculosis of bones and joints,Overlap,NA
Infection of bones and joints,H05.0,Acute inflammation of orbit,Cross-mapped,NA
Infection of bones and joints,K10.2,Inflammatory conditions of jaws,Cross-mapped,NA
Infection of bones and joints,M00,Pyogenic arthritis,New code list,NA
Infection of bones and joints,M00.9,"Pyogenic arthritis, unspecified",Cross-mapped,NA
Infection of bones and joints,M01,Direct infections of joint in infectious and parasitic diseases classified elsewhere,New code list,NA
Infection of bones and joints,M46.2,Osteomyelitis of vertebra,Overlap,NA
Infection of bones and joints,M46.3,Infection of intervertebral disc (pyogenic),Overlap,NA
Infection of bones and joints,M46.4,Discitis,New code list,NA
Infection of bones and joints,M46.5,Other infective spondylopathies,New code list,NA
Infection of bones and joints,M49.0,Tuberculosis of spine,New code list,NA
Infection of bones and joints,M49.1,Brucella spondylitis,New code list,NA
Infection of bones and joints,M49.2,Enterobacterial spondylitis,New code list,NA
Infection of bones and joints,M49.3,Spondylopathy in other infectious and parasitic diseases classified elsewhere,New code list,NA
Infection of bones and joints,M86,Osteomyelitis,New code list,NA
Infection of bones and joints,M86.0,Acute haematogenous osteomyelitis,Cross-mapped,NA
Infection of bones and joints,M86.1,Other acute osteomyelitis,Cross-mapped,NA
Infection of bones and joints,M86.2,Subacute osteomyelitis,Cross-mapped,NA
Infection of bones and joints,M86.3,Chronic multifocal osteomyelitis,Cross-mapped,NA
Infection of bones and joints,M86.4,Chronic osteomyelitis with draining sinus,Cross-mapped,NA
Infection of bones and joints,M86.5,Other chronic haematogenous osteomyelitis,Cross-mapped,NA
Infection of bones and joints,M86.6,Other chronic osteomyelitis,Cross-mapped,NA
Infection of bones and joints,M86.8,Other osteomyelitis,Cross-mapped,NA
Infection of bones and joints,M86.9,"Osteomyelitis, unspecified",Cross-mapped,NA
Infection of bones and joints,M90.0,Tuberculosis of bone,New code list,NA
Infection of bones and joints,M90.1,Periostitis in other infectious diseases classified elsewhere,New code list,NA
Infection of bones and joints,M90.2,Osteopathy in other infectious diseases classified elsewhere,New code list,NA
Infection of bones and joints,T84.7,"Infection and inflammatory reaction due to other internal orthopaedic prosthetic devices, implants and grafts",Cross-mapped,NA
Intervertebral disc disorders,M50,Cervical disc disorders,Kuan,NA
Intervertebral disc disorders,M50.1,Cervical disc disorder with radiculopathy,Cross-mapped,NA
Intervertebral disc disorders,M50.2,Other cervical disc displacement,Cross-mapped,NA
Intervertebral disc disorders,M50.3,Other cervical disc degeneration,Cross-mapped,NA
Intervertebral disc disorders,M50.8,Other cervical disc disorders,Cross-mapped,NA
Intervertebral disc disorders,M50.9,"Cervical disc disorder, unspecified",Cross-mapped,NA
Intervertebral disc disorders,M51,Other intervertebral disc disorders,Kuan,NA
Intervertebral disc disorders,M51.2,Other specified intervertebral disc displacement,Cross-mapped,NA
Intervertebral disc disorders,M51.3,Other specified intervertebral disc degeneration,Cross-mapped,NA
Intervertebral disc disorders,M51.4,Schmorl nodes,Cross-mapped,NA
Intervertebral disc disorders,M51.8,Other specified intervertebral disc disorders,Cross-mapped,NA
Intervertebral disc disorders,M51.9,"Intervertebral disc disorder, unspecified",Cross-mapped,NA
Intervertebral disc disorders,M99.5,Intervertebral disc stenosis of neural canal,Cross-mapped,NA
Intracerebral haemorrhage,I61,Intracerebral haemorrhage,Overlap,NA
Intracerebral haemorrhage,I61.0,"Intracerebral haemorrhage in hemisphere, subcortical",Cross-mapped,NA
Intracerebral haemorrhage,I61.1,"Intracerebral haemorrhage in hemisphere, cortical",Cross-mapped,NA
Intracerebral haemorrhage,I61.2,"Intracerebral haemorrhage in hemisphere, unspecified",Cross-mapped,NA
Intracerebral haemorrhage,I61.3,Intracerebral haemorrhage in brain stem,Cross-mapped,NA
Intracerebral haemorrhage,I61.4,Intracerebral haemorrhage in cerebellum,Cross-mapped,NA
Intracerebral haemorrhage,I61.5,"Intracerebral haemorrhage, intraventricular",Cross-mapped,NA
Intracerebral haemorrhage,I61.6,"Intracerebral haemorrhage, multiple localized",Cross-mapped,NA
Intracerebral haemorrhage,I61.8,Other intracerebral haemorrhage,Cross-mapped,NA
Intracerebral haemorrhage,I61.9,"Intracerebral haemorrhage, unspecified",Cross-mapped,NA
Intracerebral haemorrhage,I69.1,Sequelae of intracerebral haemorrhage,Overlap,NA
Intracerebral haemorrhage,I69.2,Sequelae of other nontraumatic intracranial haemorrhage,Cross-mapped,NA
Intracranial hypertension,G93.2,Benign intracranial hypertension,Overlap,NA
Iron deficiency anaemia,D50,Iron deficiency anaemia,Kuan,NA
Iron deficiency anaemia,D50.0,Iron deficiency anaemia secondary to blood loss (chronic),Cross-mapped,NA
Iron deficiency anaemia,D50.1,Sideropenic dysphagia,Cross-mapped,NA
Iron deficiency anaemia,D50.8,Other iron deficiency anaemias,Cross-mapped,NA
Iron deficiency anaemia,D50.9,"Iron deficiency anaemia, unspecified",Cross-mapped,NA
Irritable bowel syndrome,F45.3,Somatoform autonomic dysfunction,Cross-mapped,NA
Irritable bowel syndrome,K58,Irritable bowel syndrome,Kuan,NA
Irritable bowel syndrome,K58.0,Irritable bowel syndrome with diarrhoea,Cross-mapped,NA
Irritable bowel syndrome,K58.9,Irritable bowel syndrome without diarrhoea,Cross-mapped,NA
Juvenile arthritis,M08,Juvenile arthritis,Kuan,NA
Juvenile arthritis,M08.0,Juvenile rheumatoid arthritis,Cross-mapped,NA
Juvenile arthritis,M08.1,Juvenile ankylosing spondylitis,Cross-mapped,NA
Juvenile arthritis,M08.2,Juvenile arthritis with systemic onset,Cross-mapped,NA
Juvenile arthritis,M08.3,Juvenile polyarthritis (seronegative),Cross-mapped,NA
Juvenile arthritis,M08.4,Pauciarticular juvenile arthritis,Cross-mapped,NA
Juvenile arthritis,M08.8,Other juvenile arthritis,Cross-mapped,NA
Juvenile arthritis,M08.9,"Juvenile arthritis, unspecified",Cross-mapped,NA
Juvenile arthritis,M09,Juvenile arthritis in diseases classified elsewhere,Kuan,NA
Learning disability,F70,Mild mental retardation,Overlap,NA
Learning disability,F70.8,Mild mental retardation other impairments of behaviour,Cross-mapped,NA
Learning disability,F71,Moderate mental retardation,Overlap,NA
Learning disability,F71.8,Moderate mental retardation other impairments of behaviour,Cross-mapped,NA
Learning disability,F72,Severe mental retardation,Overlap,NA
Learning disability,F72.8,Severe mental retardation other impairments of behaviour,Cross-mapped,NA
Learning disability,F73,Profound mental retardation,Overlap,NA
Learning disability,F78,Other mental retardation,Overlap,NA
Learning disability,F78.8,Other mental retardation other impairments of behaviour,Cross-mapped,NA
Learning disability,F79,Unspecified mental retardation,Overlap,NA
Learning disability,F80,Specific developmental disorders of speech and language,Cross-mapped,NA
Learning disability,F80.8,Other developmental disorders of speech and language,Cross-mapped,NA
Learning disability,F81,Specific developmental disorders of scholastic skills,Cross-mapped,NA
Learning disability,F81.8,Other developmental disorders of scholastic skills,Cross-mapped,NA
Learning disability,F81.9,Developmental disorder of scholastic skills unspecified,Overlap,NA
Learning disability,F82,Specific developmental disorder of motor function,Cross-mapped,NA
Learning disability,F83,Mixed specific developmental disorders,Cross-mapped,NA
Learning disability,F84,Pervasive developmental disorders,Cross-mapped,NA
Learning disability,F84.1,Atypical autism,Cross-mapped,NA
Learning disability,F84.8,Other pervasive developmental disorders,Cross-mapped,NA
Learning disability,F84.9,"Pervasive developmental disorder, unspecified",Cross-mapped,NA
Learning disability,F89,Unspecified disorder of psychological development,Cross-mapped,NA
Learning disability,Q90.9,"Down syndrome, unspecified",Cross-mapped,NA
Learning disability,Q91.2,"Trisomy 18, translocation",Cross-mapped,NA
Learning disability,Q91.3,"Edwards' syndrome, unspecified",Cross-mapped,NA
Learning disability,Q91.6,"Trisomy 13, translocation",Cross-mapped,NA
Learning disability,Q91.7,"Patau syndrome, unspecified",Cross-mapped,NA
Learning disability,Q99.2,Fragile X chromosome,Cross-mapped,NA
Leukaemia,C91,Lymphoid leukaemia,Kuan,NA
Leukaemia,C91.0,Acute lymphoblastic leukaemia [ALL],Cross-mapped,NA
Leukaemia,C91.1,Chronic lymphocytic leukaemia of B-cell type,Cross-mapped,NA
Leukaemia,C91.3,Prolymphocytic leukaemia of B-cell type,Cross-mapped,NA
Leukaemia,C91.4,Hairy-cell leukaemia,Cross-mapped,NA
Leukaemia,C91.5,Adult T-cell lymphoma/leukaemia [HTLV-1-associated],Cross-mapped,NA
Leukaemia,C91.6,Prolymphocytic leukaemia of T-cell type,Cross-mapped,NA
Leukaemia,C91.7,Other lymphoid leukaemia,Cross-mapped,NA
Leukaemia,C91.8,Mature B-cell leukaemia Burkitt-type,Cross-mapped,NA
Leukaemia,C91.9,"Lymphoid leukaemia, unspecified",Cross-mapped,NA
Leukaemia,C92,Myeloid leukaemia,Kuan,NA
Leukaemia,C92.0,Acute myeloblastic leukaemia [AML],Cross-mapped,NA
Leukaemia,C92.1,"Chronic myeloid leukaemia [CML], BCR/ABL-positive",Cross-mapped,NA
Leukaemia,C92.2,"Atypical chronic myeloid leukaemia, BCR/ABL-negative",Cross-mapped,NA
Leukaemia,C92.3,Myeloid sarcoma,Cross-mapped,NA
Leukaemia,C92.4,Acute promyelocytic leukaemia [PML],Cross-mapped,NA
Leukaemia,C92.5,Acute myelomonocytic leukaemia,Cross-mapped,NA
Leukaemia,C92.7,Other myeloid leukaemia,Cross-mapped,NA
Leukaemia,C92.9,"Myeloid leukaemia, unspecified",Cross-mapped,NA
Leukaemia,C93,Monocytic leukaemia,Kuan,NA
Leukaemia,C93.0,Acute monoblastic/monocytic leukaemia,Cross-mapped,NA
Leukaemia,C93.1,Chronic myelomonocytic leukaemia,Cross-mapped,NA
Leukaemia,C93.3,Juvenile myelomonocytic leukaemia,Cross-mapped,NA
Leukaemia,C93.7,Other monocytic leukaemia,Cross-mapped,NA
Leukaemia,C93.9,"Monocytic leukaemia, unspecified",Cross-mapped,NA
Leukaemia,C94,Other leukaemias of specified cell type,Kuan,NA
Leukaemia,C94.0,Acute erythroid leukaemia,Cross-mapped,NA
Leukaemia,C94.2,Acute megakaryoblastic leukaemia,Cross-mapped,NA
Leukaemia,C94.3,Mast cell leukaemia,Cross-mapped,NA
Leukaemia,C94.4,Acute panmyelosis with myelofibrosis,Cross-mapped,NA
Leukaemia,C94.6,"Myelodysplastic and myeloproliferative disease, not elsewhere classified",Cross-mapped,NA
Leukaemia,C94.7,Other specified leukaemias,Cross-mapped,NA
Leukaemia,C95,Leukaemia of unspecified cell type,Kuan,NA
Leukaemia,C95.0,Acute leukaemia of unspecified cell type,Cross-mapped,NA
Leukaemia,C95.1,Chronic leukaemia of unspecified cell type,Cross-mapped,NA
Leukaemia,C95.7,Other leukaemia of unspecified cell type,Cross-mapped,NA
Leukaemia,C95.9,"Leukaemia, unspecified",Cross-mapped,NA
Leukaemia,D47.1,Chronic myeloproliferative disease,Cross-mapped,NA
Leukaemia,Z08.2,Follow-up examination after chemotherapy for malignant neoplasm,Cross-mapped,NA
Leukaemia,Z85.6,Personal history of leukaemia,Cross-mapped,NA
Lichen planus,L43,Lichen planus,Kuan,NA
Lichen planus,L43.0,Hypertrophic lichen planus,Cross-mapped,NA
Lichen planus,L43.1,Bullous lichen planus,Cross-mapped,NA
Lichen planus,L43.3,Subacute (active) lichen planus,Cross-mapped,NA
Lichen planus,L43.8,Other lichen planus,Cross-mapped,NA
Lichen planus,L43.9,"Lichen planus, unspecified",Cross-mapped,NA
Lichen planus,L66.1,Lichen planopilaris,Overlap,NA
Liver failure and transplant,B15.0,Hepatitis A with hepatic coma,Overlap,NA
Liver failure and transplant,B16.0,Acute hepatitis B with delta-agent (coinfection) with hepatic coma,Kuan,NA
Liver failure and transplant,B16.2,Acute hepatitis B without delta-agent with hepatic coma,Cross-mapped,NA
Liver failure and transplant,B17.8,Other specified acute viral hepatitis,Cross-mapped,NA
Liver failure and transplant,B18.2,Chronic viral hepatitis C,Cross-mapped,NA
Liver failure and transplant,B19.0,Unspecified viral hepatitis with hepatic coma,Kuan,NA
Liver failure and transplant,K70.4,Alcoholic hepatic failure,Overlap,NA
Liver failure and transplant,K71.1,Toxic liver disease with hepatic necrosis,Overlap,NA
Liver failure and transplant,K72,Hepatic failure not elsewhere classified,Kuan,NA
Liver failure and transplant,K72.0,Acute and subacute hepatic failure,Cross-mapped,NA
Liver failure and transplant,K72.9,"Hepatic failure, unspecified",Cross-mapped,NA
Liver failure and transplant,K76.2,Central haemorrhagic necrosis of liver,Overlap,NA
Liver failure and transplant,K76.3,Infarction of liver,Overlap,NA
Liver failure and transplant,K76.8,Other specified diseases of liver,Cross-mapped,NA
Liver failure and transplant,K91.8,"Other postprocedural disorders of digestive system, not elsewhere classified",Cross-mapped,NA
Liver failure and transplant,T86.4,Liver transplant failure and rejection,Cross-mapped,NA
Liver failure and transplant,Z94.4,Liver transplant status,Cross-mapped,NA
"Liver fibrosis, sclerosis and cirrhosis",E74.0,Glycogen storage disease,Cross-mapped,NA
"Liver fibrosis, sclerosis and cirrhosis",E83.1,Disorders of iron metabolism,Cross-mapped,NA
"Liver fibrosis, sclerosis and cirrhosis",K70.1,Alcoholic hepatitis,Kuan,NA
"Liver fibrosis, sclerosis and cirrhosis",K70.2,Alcoholic fibrosis and sclerosis of liver,Overlap,NA
"Liver fibrosis, sclerosis and cirrhosis",K70.3,Alcoholic cirrhosis of liver,Overlap,NA
"Liver fibrosis, sclerosis and cirrhosis",K71.7,Toxic liver disease with fibrosis and cirrhosis of liver,Overlap,NA
"Liver fibrosis, sclerosis and cirrhosis",K74.0,Hepatic fibrosis,Overlap,NA
"Liver fibrosis, sclerosis and cirrhosis",K74.1,Hepatic sclerosis,Overlap,NA
"Liver fibrosis, sclerosis and cirrhosis",K74.2,Hepatic fibrosis with hepatic sclerosis,Overlap,NA
"Liver fibrosis, sclerosis and cirrhosis",K74.3,Primary biliary cirrhosis,Cross-mapped,NA
"Liver fibrosis, sclerosis and cirrhosis",K74.4,Secondary biliary cirrhosis,Overlap,NA
"Liver fibrosis, sclerosis and cirrhosis",K74.5,Biliary cirrhosis unspecified,Overlap,NA
"Liver fibrosis, sclerosis and cirrhosis",K74.6,Other and unspecified cirrhosis of liver,Overlap,NA
"Liver fibrosis, sclerosis and cirrhosis",K76.1,Chronic passive congestion of liver,Cross-mapped,NA
Lupus erythematosus (local and systemic),H01.1,Noninfectious dermatoses of eyelid,Cross-mapped,NA
Lupus erythematosus (local and systemic),L93,Lupus erythematosus,Kuan,NA
Lupus erythematosus (local and systemic),L93.0,Discoid lupus erythematosus,Cross-mapped,NA
Lupus erythematosus (local and systemic),L93.1,Subacute cutaneous lupus erythematosus,Cross-mapped,NA
Lupus erythematosus (local and systemic),L93.2,Other local lupus erythematosus,Cross-mapped,NA
Lupus erythematosus (local and systemic),M32,Systemic lupus erythematosus,Overlap,NA
Lupus erythematosus (local and systemic),M32.0,Drug-induced systemic lupus erythematosus,Cross-mapped,NA
Lupus erythematosus (local and systemic),M32.8,Other forms of systemic lupus erythematosus,Cross-mapped,NA
Lupus erythematosus (local and systemic),M32.9,"Systemic lupus erythematosus, unspecified",Cross-mapped,NA
Macular degeneration,H35.3,Degeneration of macula and posterior pole,Overlap,NA
Macular degeneration,H35.7,Separation of retinal layers,Cross-mapped,NA
