Condition,ICD10code,ICD10codeDescr
Hypertension,O10.2,Pre-existing hypertensive renal disease complicating pregnancy, childbirth and the puerperium
Hypertension,O10.3,Pre-existing hypertensive heart and renal disease complicating pregnancy, childbirth and the puerperium
Hypertension,O10.9,Unspecified pre-existing hypertension complicating pregnancy, childbirth and the puerperium
Hypertension,O11,Pre-eclampsia superimposed on chronic hypertension
Hypertrophic Cardiomyopathy,I42.1,Obstructive hypertrophic cardiomyopathy
Hypertrophic Cardiomyopathy,I42.2,Other hypertrophic cardiomyopathy
Hypertrophy of nasal turbinates,J34.2,Deviated nasal septum
Hypertrophy of nasal turbinates,J34.3,Hypertrophy of nasal turbinates
Hypopituitarism,E23.0,Hypopituitarism
Hypopituitarism,E23.1,Drug-induced hypopituitarism
Hypopituitarism,E23.6,Other disorders of pituitary gland
Hypopituitarism,E89.3,Postprocedural hypopituitarism
Hyposplenism,D73.0,Hyposplenism
Hyposplenism,D73.5,Infarction of spleen
Hyposplenism,D73.8,Other diseases of spleen
Hyposplenism,Q89.0,Congenital malformations of spleen
Immunodeficiencies,D80,Immunodeficiency with predominantly antibody defects
Immunodeficiencies,D80.0,Hereditary hypogammaglobulinaemia
Immunodeficiencies,D80.1,Nonfamilial hypogammaglobulinaemia
Immunodeficiencies,D80.2,Selective deficiency of immunoglobulin A [IgA]
Immunodeficiencies,D80.3,Selective deficiency of immunoglobulin G [IgG] subclasses
Immunodeficiencies,D80.4,Selective deficiency of immunoglobulin M [IgM]
Immunodeficiencies,D80.5,Immunodeficiency with increased immunoglobulin M [IgM]
Immunodeficiencies,D80.7,Transient hypogammaglobulinaemia of infancy
Immunodeficiencies,D80.8,Other immunodeficiencies with predominantly antibody defects
Immunodeficiencies,D80.9,Immunodeficiency with predominantly antibody defects, unspecified
Immunodeficiencies,D81,Combined immunodeficiencies
Immunodeficiencies,D81.0,Severe combined immunodeficiency [SCID] with reticular dysgenesis
Immunodeficiencies,D81.3,Adenosine deaminase [ADA] deficiency
Immunodeficiencies,D81.5,Purine nucleoside phosphorylase [PNP] deficiency
Immunodeficiencies,D81.6,Major histocompatibility complex class I deficiency
Immunodeficiencies,D81.7,Major histocompatibility complex class II deficiency
Immunodeficiencies,D81.8,Other combined immunodeficiencies
Immunodeficiencies,D81.9,Combined immunodeficiency, unspecified
Immunodeficiencies,D82,Immunodeficiency associated with other major defects
Immunodeficiencies,D82.0,Wiskott-Aldrich syndrome
Immunodeficiencies,D82.1,Di George syndrome
Immunodeficiencies,D82.2,Immunodeficiency with short-limbed stature
Immunodeficiencies,D82.4,Hyperimmunoglobulin E [IgE] syndrome
Immunodeficiencies,D83,Common variable immunodeficiency
Immunodeficiencies,D83.8,Other common variable immunodeficiencies
Immunodeficiencies,D83.9,Common variable immunodeficiency, unspecified
Immunodeficiencies,D84.0,Lymphocyte function antigen-1 [LFA-1] defect
Immunodeficiencies,D84.8,Other specified immunodeficiencies
Immunodeficiencies,D84.9,Immunodeficiency
Immunodeficiencies,D84.9,Immunodeficiency, unspecified
Infection of bones and joints,A18.0,Tuberculosis of bones and joints
Infection of bones and joints,A54.4,Gonococcal infection of musculoskeletal system
Infection of bones and joints,B45.3,Osseous cryptococcosis
Infection of bones and joints,B67.2,Echinococcus granulosus infection of bone
Infection of bones and joints,B90.2,Sequelae of tuberculosis of bones and joints
Infection of bones and joints,M00,Pyogenic arthritis
Infection of bones and joints,M00.9,Pyogenic arthritis, unspecified
Infection of bones and joints,M01,Direct infections of joint in infectious and parasitic diseases classified elsewhere
Infection of bones and joints,M46.2,Osteomyelitis of vertebra
Infection of bones and joints,M46.3,Infection of intervertebral disc (pyogenic)
Infection of bones and joints,M46.4,Discitis
Infection of bones and joints,M46.5,Other infective spondylopathies
Infection of bones and joints,M49.0,Tuberculosis of spine
Infection of bones and joints,M49.1,Brucella spondylitis
Infection of bones and joints,M49.2,Enterobacterial spondylitis
Infection of bones and joints,M49.3,Spondylopathy in other infectious and parasitic diseases classified elsewhere
Infection of bones and joints,M86,Osteomyelitis
Infection of bones and joints,M86.0,Acute haematogenous osteomyelitis
Infection of bones and joints,M86.1,Other acute osteomyelitis
Infection of bones and joints,M86.2,Subacute osteomyelitis
Infection of bones and joints,M86.3,Chronic multifocal osteomyelitis
Infection of bones and joints,M86.4,Chronic osteomyelitis with draining sinus
Infection of bones and joints,M86.5,Other chronic haematogenous osteomyelitis
Infection of bones and joints,M86.6,Other chronic osteomyelitis
Infection of bones and joints,M86.8,Other osteomyelitis
Infection of bones and joints,M86.9,Osteomyelitis, unspecified
Infection of bones and joints,M90.0,Tuberculosis of bone
Infection of bones and joints,M90.1,Periostitis in other infectious diseases classified elsewhere
Infection of bones and joints,M90.2,Osteopathy in other infectious diseases classified elsewhere
Infection of bones and joints,T84.7,Infection and inflammatory reaction due to other internal orthopaedic prosthetic devices, implants and grafts
Intervertebral disc disorders,M50,Cervical disc disorders
Intervertebral disc disorders,M50.1,Cervical disc disorder with radiculopathy
Intervertebral disc disorders,M50.2,Other cervical disc displacement
Intervertebral disc disorders,M50.3,Other cervical disc degeneration
Intervertebral disc disorders,M50.8,Other cervical disc disorders
Intervertebral disc disorders,M50.9,Cervical disc disorder, unspecified
Intervertebral disc disorders,M51,Other intervertebral disc disorders
Intervertebral disc disorders,M51.2,Other specified intervertebral disc displacement
Intervertebral disc disorders,M51.3,Other specified intervertebral disc degeneration
Intervertebral disc disorders,M51.4,Schmorl nodes
Intervertebral disc disorders,M51.8,Other specified intervertebral disc disorders
Intervertebral disc disorders,M51.9,Intervertebral disc disorder, unspecified
Intervertebral disc disorders,M99.5,Intervertebral disc stenosis of neural canal
Intracerebral haemorrhage,I61,Intracerebral haemorrhage
Intracerebral haemorrhage,I61.0,Intracerebral haemorrhage in hemisphere, subcortical
Intracerebral haemorrhage,I61.1,Intracerebral haemorrhage in hemisphere, cortical
Intracerebral haemorrhage,I61.2,Intracerebral haemorrhage in hemisphere, unspecified
Intracerebral haemorrhage,I61.3,Intracerebral haemorrhage in brain stem
Intracerebral haemorrhage,I61.4,Intracerebral haemorrhage in cerebellum
Intracerebral haemorrhage,I61.5,Intracerebral haemorrhage, intraventricular
Intracerebral haemorrhage,I61.6,Intracerebral haemorrhage, multiple localized
Intracerebral haemorrhage,I61.8,Other intracerebral haemorrhage
Intracerebral haemorrhage,I61.9,Intracerebral haemorrhage, unspecified
Intracerebral haemorrhage,I69.1,Sequelae of intracerebral haemorrhage
Intracerebral haemorrhage,I69.2,Sequelae of other nontraumatic intracranial haemorrhage
Intracranial hypertension,G93.2,Benign intracranial hypertension
Iron deficiency with and without anaemia,D50,Iron deficiency anaemia
Iron deficiency with and without anaemia,D50.0,Iron deficiency anaemia secondary to blood loss (chronic)
Iron deficiency with and without anaemia,D50.1,Sideropenic dysphagia
Iron deficiency with and without anaemia,D50.8,Other iron deficiency anaemias
Iron deficiency with and without anaemia,D50.9,Iron deficiency anaemia, unspecified
Irritable bowel syndrome,K58,Irritable bowel syndrome
Irritable bowel syndrome,K58.0,Irritable bowel syndrome with diarrhoea
Irritable bowel syndrome,K58.9,Irritable bowel syndrome without diarrhoea
Juvenile arthritis,M08,Juvenile arthritis
Juvenile arthritis,M08.0,Juvenile rheumatoid arthritis
Juvenile arthritis,M08.1,Juvenile ankylosing spondylitis
Juvenile arthritis,M08.2,Juvenile arthritis with systemic onset
Juvenile arthritis,M08.3,Juvenile polyarthritis (seronegative)
Juvenile arthritis,M08.4,Pauciarticular juvenile arthritis
Juvenile arthritis,M08.8,Other juvenile arthritis
Juvenile arthritis,M08.9,Juvenile arthritis, unspecified
Juvenile arthritis,M09,Juvenile arthritis in diseases classified elsewhere
Juvenile arthritis,M09.0,Juvenile arthritis in psoriasis
Learning disability,F70,Mild mental retardation
Learning disability,F70.8,Mild mental retardation other impairments of behaviour
Learning disability,F71,Moderate mental retardation
Learning disability,F71.8,Moderate mental retardation other impairments of behaviour
Learning disability,F72,Severe mental retardation
Learning disability,F72.8,Severe mental retardation other impairments of behaviour
Learning disability,F73,Profound mental retardation
Learning disability,F78,Other mental retardation
Learning disability,F78.8,Other mental retardation other impairments of behaviour
Learning disability,F79,Unspecified mental retardation
Learning disability,F80,Specific developmental disorders of speech and language
Learning disability,F80.8,Other developmental disorders of speech and language
Learning disability,F81,Specific developmental disorders of scholastic skills
Learning disability,F81.8,Other developmental disorders of scholastic skills
Learning disability,F81.9,Developmental disorder of scholastic skills unspecified
Learning disability,F81.9,Developmental disorder of scholastic skills, unspecified
Learning disability,F82,Specific developmental disorder of motor function
Learning disability,F83,Mixed specific developmental disorders
Learning disability,F84,Pervasive developmental disorders
Learning disability,F84.8,Other pervasive developmental disorders
Learning disability,F84.9,Pervasive developmental disorder, unspecified
Learning disability,F89,Unspecified disorder of psychological development
Learning disability,Q90.9,Down syndrome, unspecified
Learning disability,Q91.2,Trisomy 18, translocation
Learning disability,Q91.3,Edwards' syndrome, unspecified
Learning disability,Q91.6,Trisomy 13, translocation
Learning disability,Q91.7,Patau syndrome, unspecified
Learning disability,Q99.2,Fragile X chromosome
Leukaemia,C91,Lymphoid leukaemia
Leukaemia,C91.0,Acute lymphoblastic leukaemia [ALL]
Leukaemia,C91.1,Chronic lymphocytic leukaemia of B-cell type
Leukaemia,C91.3,Prolymphocytic leukaemia of B-cell type
Leukaemia,C91.4,Hairy-cell leukaemia
Leukaemia,C91.5,Adult T-cell lymphoma/leukaemia [HTLV-1-associated]
Leukaemia,C91.6,Prolymphocytic leukaemia of T-cell type
Leukaemia,C91.7,Other lymphoid leukaemia
Leukaemia,C91.8,Mature B-cell leukaemia Burkitt-type
Leukaemia,C91.9,Lymphoid leukaemia, unspecified
Leukaemia,C92,Myeloid leukaemia
Leukaemia,C92.0,Acute myeloblastic leukaemia [AML]
Leukaemia,C92.1,Chronic myeloid leukaemia [CML], BCR/ABL-positive
Leukaemia,C92.2,Atypical chronic myeloid leukaemia, BCR/ABL-negative
Leukaemia,C92.3,Myeloid sarcoma
Leukaemia,C92.4,Acute promyelocytic leukaemia [PML]
Leukaemia,C92.5,Acute myelomonocytic leukaemia
Leukaemia,C92.7,Other myeloid leukaemia
Leukaemia,C92.9,Myeloid leukaemia, unspecified
Leukaemia,C93,Monocytic leukaemia
Leukaemia,C93.0,Acute monoblastic/monocytic leukaemia
Leukaemia,C93.1,Chronic myelomonocytic leukaemia
Leukaemia,C93.3,Juvenile myelomonocytic leukaemia
Leukaemia,C93.7,Other monocytic leukaemia
Leukaemia,C93.9,Monocytic leukaemia, unspecified
Leukaemia,C94,Other leukaemias of specified cell type
Leukaemia,C94.0,Acute erythroid leukaemia
Leukaemia,C94.2,Acute megakaryoblastic leukaemia
Leukaemia,C94.3,Mast cell leukaemia
Leukaemia,C94.4,Acute panmyelosis with myelofibrosis
Leukaemia,C94.6,Myelodysplastic and myeloproliferative disease, not elsewhere classified
Leukaemia,C94.7,Other specified leukaemias
Leukaemia,C95,Leukaemia of unspecified cell type
Leukaemia,C95.0,Acute leukaemia of unspecified cell type
Leukaemia,C95.1,Chronic leukaemia of unspecified cell type
Leukaemia,C95.7,Other leukaemia of unspecified cell type
Leukaemia,C95.9,Leukaemia, unspecified
Leukaemia,D47.1,Chronic myeloproliferative disease
Leukaemia,Z85.6,Personal history of leukaemia
Lichen planus,L43,Lichen planus
Lichen planus,L43.0,Hypertrophic lichen planus
Lichen planus,L43.1,Bullous lichen planus
Lichen planus,L43.3,Subacute (active) lichen planus
Lichen planus,L43.8,Other lichen planus
Lichen planus,L43.9,Lichen planus, unspecified
Lichen planus,L66.1,Lichen planopilaris
Liver failure and transplant,B15.0,Hepatitis A with hepatic coma
Liver failure and transplant,B16.0,Acute hepatitis B with delta-agent (coinfection) with hepatic coma
Liver failure and transplant,B16.2,Acute hepatitis B without delta-agent with hepatic coma
Liver failure and transplant,B19.0,Unspecified viral hepatitis with hepatic coma
Liver failure and transplant,K70.4,Alcoholic hepatic failure
Liver failure and transplant,K71.1,Toxic liver disease with hepatic necrosis
Liver failure and transplant,K72,Hepatic failure not elsewhere classified
Liver failure and transplant,K72.0,Acute and subacute hepatic failure
Liver failure and transplant,K72.9,Hepatic failure, unspecified
Liver failure and transplant,K76.2,Central haemorrhagic necrosis of liver
Liver failure and transplant,K76.3,Infarction of liver
Liver failure and transplant,T86.4,Liver transplant failure and rejection
Liver fibrosis, sclerosis and cirrhosis,K70.2,Alcoholic fibrosis and sclerosis of liver
Liver fibrosis, sclerosis and cirrhosis,K70.3,Alcoholic cirrhosis of liver
Liver fibrosis, sclerosis and cirrhosis,K71.7,Toxic liver disease with fibrosis and cirrhosis of liver
Liver fibrosis, sclerosis and cirrhosis,K74.0,Hepatic fibrosis
Liver fibrosis, sclerosis and cirrhosis,K74.1,Hepatic sclerosis
Liver fibrosis, sclerosis and cirrhosis,K74.2,Hepatic fibrosis with hepatic sclerosis
Liver fibrosis, sclerosis and cirrhosis,K74.3,Primary biliary cirrhosis
